DATA,NF-e,CNPJ/CPF,CLIENTE,VALOR,TIPO DE VENDA,VEND,COM,SIMPLES,FRETE,% FRETE
01/08/2023,95497,10.273.865/0001-85,Luiz Fernando Montenegro,837.56,À VISTA,Ana Lívia Almeida,96.19,NÃO,276.16,7.22
14/09/2024,75655,34.902.687/0001-72,Danilo Nunes,611.25,A PRAZO,Dr. Miguel Silva,48.97,NÃO,343.92,2.7
14/04/2025,32750,29.801.453/0001-07,Maria Isis Moraes,4736.46,À VISTA,Larissa Melo,93.94,SIM,250.21,4.5
08/06/2023,21411,92.017.635/0001-10,Bruna Ferreira,2222.99,A PRAZO,Joaquim Sá,70.52,NÃO,157.18,1.45
06/09/2023,93276,12.730.548/0001-76,Pietro Leão,1816.25,A PRAZO,Olívia Lima,28.68,NÃO,93.65,2.79
14/08/2022,59892,78.493.065/0001-03,Noah Gomes,3112.01,A PRAZO,João Carvalho,37.99,NÃO,408.19,9.14
20/02/2024,45814,52.374.916/0001-05,Maria Liz Pastor,1889.1,À VISTA,Henry Cirino,46.81,SIM,140.58,5.12
04/12/2024,85041,16.475.038/0001-50,Francisco Santos,2818.94,À VISTA,Ana Rocha,64.32,SIM,379.23,4.85
24/07/2023,66700,89.264.107/0001-50,Yago Garcia,4042.01,À VISTA,Sr. Vinícius Rezende,55.08,NÃO,342.49,8.92
17/10/2022,55708,19.872.634/0001-62,Dr. Théo Pastor,1052.76,À VISTA,Rhavi da Luz,58.6,NÃO,299.92,5.9
05/07/2024,41795,51.249.086/0001-21,Catarina Almeida,3204.44,A PRAZO,Pietra Pastor,67.67,NÃO,60.6,5.92
17/01/2025,88322,20.891.735/0001-60,Juliana Abreu,484.69,À VISTA,Diego Brito,87.73,NÃO,311.55,8.86
02/12/2022,89204,24.016.958/0001-39,Arthur Fernandes,2621.35,À VISTA,Gustavo Jesus,28.59,SIM,388.76,2.78
24/08/2023,39038,64.259.107/0001-31,Mariane Pinto,1749.98,À VISTA,Dra. Joana Andrade,68.55,NÃO,119.63,8.45
28/03/2023,81475,53.078.126/0001-45,Dr. Davi Lucas Nunes,121.25,À VISTA,Sr. Renan Monteiro,2.68,NÃO,457.84,7.71
27/10/2022,82229,09.417.852/0001-53,Nicole Peixoto,768.37,À VISTA,Vitor Hugo Vargas,28.87,NÃO,29.42,4.36
15/04/2023,33893,26.497.058/0001-86,Breno Montenegro,4684.91,A PRAZO,Cecilia Abreu,87.39,NÃO,300.74,6.17
11/09/2022,63910,61.078.295/0001-03,Benjamin da Rocha,481.63,À VISTA,Anna Liz Alves,46.17,SIM,196.83,4.06
08/01/2024,72042,87.105.249/0001-40,Luiz Gustavo Cassiano,2511.39,A PRAZO,Larissa Lima,60.95,SIM,283.99,7.17
03/09/2024,98871,78.329.150/0001-30,Isabel Garcia,2645.27,A PRAZO,Enrico Novais,35.72,NÃO,56.1,1.77
13/06/2022,36854,19.037.658/0001-04,Dr. Leandro Silveira,3402.85,À VISTA,Srta. Letícia Costela,85.4,NÃO,368.11,1.55
09/10/2022,63212,25.479.638/0001-88,Valentina Melo,3147.07,A PRAZO,Luiz Otávio Aragão,35.1,SIM,222.57,2.1
28/02/2025,87289,46.810.935/0001-34,João Guilherme Silveira,4229.03,À VISTA,Bernardo Ribeiro,12.46,SIM,421.27,4.46
28/06/2022,58022,20.916.874/0001-09,Ana Julia Brito,4416.85,À VISTA,Emanuelly Castro,28.57,NÃO,371.43,7.14
10/12/2022,61707,41.756.293/0001-19,Sr. Valentim Viana,608.03,A PRAZO,Alexandre Novaes,37.1,NÃO,218.61,1.25
31/03/2023,46874,29.561.378/0001-46,Dr. Gael Albuquerque,2698.16,A PRAZO,Samuel Nogueira,28.62,NÃO,71.77,8.7
31/07/2024,80117,69.354.028/0001-23,Léo Caldeira,3701.47,A PRAZO,Maria Júlia Rocha,99.52,NÃO,176.72,1.56
07/10/2024,57154,91.648.025/0001-51,Isabel Rocha,2962.72,A PRAZO,Bianca Cirino,97.73,NÃO,481.67,9.63
24/12/2023,61437,86.201.537/0001-35,Pietro Vasconcelos,4900.62,A PRAZO,Marina Garcia,37.86,NÃO,486.29,7.67
02/09/2023,67206,06.178.452/0001-44,João Guilherme Rodrigues,2485.74,À VISTA,Maria Flor Nunes,41.84,SIM,262.46,5.53
06/06/2022,34536,68.204.397/0001-77,Cauê Novaes,151.26,À VISTA,Laís Carvalho,80.01,SIM,330.85,2.02
08/07/2022,72769,87.304.965/0001-56,Rafaela Garcia,4997.95,À VISTA,Dom Barros,42.09,NÃO,379.03,8.83
10/04/2023,58349,41.569.827/0001-06,José Miguel Monteiro,3286.77,À VISTA,Isabela Nunes,77.29,NÃO,305.33,6.96
31/08/2023,95915,91.857.632/0001-21,Eduardo Fogaça,2370.89,A PRAZO,Benicio Barbosa,29.83,SIM,326.54,9.9
15/02/2023,95204,45.892.603/0001-83,Sr. Arthur Rocha,4164.91,À VISTA,Sra. Caroline Mendes,88.88,SIM,133.58,5.12
27/04/2024,11755,30.726.498/0001-35,Dra. Alice Pacheco,3492.67,A PRAZO,Maria Isis Pastor,79.66,SIM,87.85,9.4
25/01/2023,43778,34.075.821/0001-09,Davi Miguel da Conceição,3583.66,À VISTA,Heloísa Pinto,62.11,NÃO,413.69,3.73
24/02/2024,14245,95.620.718/0001-97,João Miguel Correia,4406.74,À VISTA,Otto Teixeira,64.66,NÃO,412.76,2.73
25/09/2024,36554,04.129.738/0001-04,João Pedro Machado,244.19,À VISTA,Dr. João Correia,59.05,NÃO,233.19,4.86
03/08/2022,14032,02.463.571/0001-98,Pietro Marques,611.41,A PRAZO,Marina Alves,33.34,SIM,418.22,9.08
08/08/2022,56008,76.358.420/0001-06,Vitor Gabriel Mendonça,4206.35,A PRAZO,Beatriz da Mota,20.5,NÃO,97.58,3.23
17/12/2024,18763,92.758.061/0001-30,Evelyn Castro,1485.19,À VISTA,Maria Cecília Correia,16.92,SIM,102.87,8.25
01/04/2025,16637,85.631.049/0001-03,Henry da Mota,4758.25,À VISTA,Sr. Luan Almeida,84.15,NÃO,434.87,6.68
31/10/2023,72904,80.247.693/0001-50,Lorena Araújo,1522.65,A PRAZO,Maitê Nascimento,93.69,NÃO,242.63,4.91
08/05/2025,57780,79.165.302/0001-70,Luana Brito,4787.62,À VISTA,Nicole Lima,26.2,NÃO,437.47,8.01
11/09/2022,36632,47.160.523/0001-69,Arthur Gabriel Cavalcante,3388.04,À VISTA,Eduarda da Conceição,35.18,SIM,482.54,5.06
06/07/2024,84806,81.937.405/0001-52,Ana Lívia Teixeira,3776.31,A PRAZO,Matteo Sousa,32.18,NÃO,208.74,5.46
18/01/2025,79108,57.169.308/0001-82,Sr. Yuri Monteiro,2740.41,À VISTA,Ana Laura Porto,29.56,NÃO,112.12,5.62
24/12/2022,74421,98.271.034/0001-15,Gabriel Novais,3028.31,A PRAZO,Thiago da Cruz,81.36,NÃO,137.72,3.42
10/09/2022,44584,57.463.921/0001-08,Eloá Ramos,2673.97,A PRAZO,Davi Lucas Ribeiro,52.18,NÃO,222.26,6.78
